No.,State,Name of reporting district,Math test participants,Math performance,Year,Reading test participants,Reading perfomance,Total students ,Total revenues,Current expenditures  ,"Current 
expenditures
per pupil","Total
expenditures
per pupil"
134,Ohio,Columbus city school district,25616,54,2010,25623,62,52810,946466,723365,13697.5,17418.917
135,Pennsylvania,Philadelphia school district,77855,57,2010,77255,51,165694,2831427,1891664,11416.61,17807.175
136,South carolina,Greenville county school district,37725,73,2010,37619,74,70969,673631,545627,7688.244,9501.3738
137,Tennessee,Memphis city schools,55243,23,2010,55716,27,109300,1093003,1032979,9450.86,10549.817
138,Texas,Aldine independent school district,31195,84,2010,31131,86,62792,619523,543076,8648.808,10098.468
139,Texas,Austin independent school district,41159,83,2010,40943,86,84676,1057469,804256,9498.039,12725.625
140,Texas,Brownsville independent school district,24471,84,2010,24196,85,49121,483862,461019,9385.374,11002.382
141,Texas,Conroe independent school district,26614,91,2010,26477,94,49629,459969,366764,7390.114,9625.7027
142,Texas,Cypress-fairbanks independent school district,55538,88,2010,55315,92,104231,944071,758880,7280.751,10096.651
143,Texas,Dallas independent school district,78156,77,2010,77885,82,157111,1768234,1425497,9073.183,10763.32
144,Texas,El paso independent school district,31583,85,2010,31083,87,63378,646198,573452,9048.123,10410.568
145,Texas,Fort bend independent school district,36881,87,2010,36694,92,69374,624727,542384,7818.26,10123.49
146,Texas,Fort worth independent school district,40931,74,2010,40709,80,80209,836980,693075,8640.863,11290.03
147,Texas,Garland independent school district,30061,86,2010,29946,91,57861,523656,448898,7758.213,8492.9227
148,Texas,Houston independent school district,96493,83,2010,95743,86,202773,2165693,1855709,9151.657,10724.49
149,Texas,Katy independent school district,32500,92,2010,32302,95,59078,578558,470162,7958.326,9081.0962
150,Texas,Lewisville independent school district,27448,92,2010,27351,94,50840,526111,426535,8389.752,12819.552
151,Texas,North east independent school district,35304,86,2010,35119,91,65498,683474,559027,8535.023,12612.996
152,Texas,Pasadena independent school district,26892,83,2010,26740,87,52303,527129,445418,8516.108,9240.1583
153,Texas,Plano independent school district,29377,92,2010,29195,95,54939,606356,458675,8348.805,12074.046
154,Texas,San antonio independent school district,26073,73,2010,26080,80,55327,579836,494918,8945.325,10035.588
155,Utah,Alpine school district,31235,82,2010,35019,86,64718,446011,357792,5528.477,7472.4033
156,Utah,Granite school district,32767,60,2010,35347,71,68807,495657,418979,6089.191,7318.8338
157,Utah,Jordan school district,25410,73,2010,26714,81,48457,359584,283396,5848.401,8326.248
158,Alaska,Anchorage school district,28568,71,2011,28565,81,49206,732488,710465,14438.58,15622.546
159,Arizona,Mesa unified school district,34320,67,2011,34371,80,65123,610696,490380,7530.058,8400.3655
160,Arizona,Tucson unified school district,26967,50,2011,27008,70,53275,522657,436947,8201.726,9669.2069
161,California,Capistrano unified school district,28832,74,2011,28845,77,53192,416481,385140,7240.562,7609.8849
162,California,Elk grove unified school district,32950,61,2011,33014,61,62455,580280,489061,7830.614,8521.5275
163,California,Fresno unified school district,38014,49,2011,38090,42,74833,768552,693180,9263.025,10285.836
